Okręg,Kod pow.,Powiat,Upr.,Frekw.,Odd.,Ważne,2 - Polska Partia Pracy,3 - Liga Polskich Rodzin,6 - Prawo i Sprawiedliwość,8 - Platforma Obywatelska,10 - Polskie Stronnictwo Ludowe,15 - Samoobrona,19 - Mniejszość Niemiecka,20 - Lewica i DemokraciD,21 - Patia Kobiet,22 - Samoobrona Patriotyczna
22,180200,brzozowski,51215,22534,22527,21920,246,396,12623,4036,2511,521,,1587,,
22,180400,jarosławski,95634,49015,48953,47937,426,638,22102,12412,8755,964,,2640,,
22,180500,jasielski,91150,44528,44473,43422,713,973,22634,10807,4217,597,,3481,,
22,180700,krośnieński,86623,41266,41247,40363,484,713,19785,10821,3979,621,,3960,,
22,180900,lubaczowski,45944,21081,21057,20444,219,234,7115,3457,7148,533,,1738,,
22,181300,przemyski,56265,26072,26063,25156,230,310,10566,8519,3062,581,,1888,,
22,181400,przeworski,61966,29356,29310,28477,264,307,13278,5958,6343,576,,1751,,
22,181700,sanocki,76510,34975,34941,34104,293,484,12862,11326,3259,828,,5052,,
22,182100,leski,22228,10163,10162,9871,137,116,3903,3444,941,173,,1157,,
22,186101,m. Krosno,38885,21909,21894,21683,163,349,7915,9459,904,157,,2736,,
22,186201,m. Przemyśl,53433,29998,29982,29460,230,324,10717,13596,934,254,,3405,,
23,180300,dębicki,103935,53590,53548,52320,505,1005,27484,12913,5506,693,,4214,,
23,180600,kolbuszowski,47640,22721,22715,22133,159,683,14117,3722,2235,226,,991,,
23,180800,leżajski,54245,26963,26951,26400,206,428,14098,7275,2890,346,,1157,,
23,181000,łańcucki,60240,32783,32751,32104,237,786,18164,7265,3761,388,,1503,,
23,181100,mielecki,105023,54038,54013,52894,446,794,23925,14926,7945,665,,4193,,
23,181200,niżański,52748,22989,22986,22302,243,563,11271,4367,3127,327,,2404,,
23,181500,ropczycko-sędziszowski,54992,28365,28358,27695,297,400,15968,3712,5683,340,,1295,,
23,181600,rzeszowski,129789,70845,70797,69173,633,1361,38306,16016,8206,797,,3854,,
23,181800,stalowowolski,87571,42156,42115,41373,357,769,19023,13480,2337,446,,4961,,
23,181900,strzyżowski,48266,22596,22577,22003,227,483,11067,4560,4253,310,,1103,,
23,182000,tarnobrzeski,43377,20514,20510,19899,188,297,8407,6585,1942,221,,2259,,
23,186301,m. Rzeszów,129530,83195,83117,82146,660,1136,29102,33970,5768,430,,11080,,
23,186401,m. Tarnobrzeg,39374,21281,21252,20921,197,357,7045,7879,1190,146,,4107,,
24,200100,augustowski,47089,21295,21286,20928,117,244,7603,7907,2721,684,,1515,137,
24,200200,białostocki,109396,54342,54320,53284,386,792,23589,16596,4067,852,,6454,548,
24,200300,bielski,49101,24156,24139,23639,153,284,9326,5654,1192,562,,6315,153,
24,200400,grajewski,39201,15975,15964,15513,138,273,7007,3819,2660,408,,1079,129,
24,200500,hajnowski,41404,18887,18833,18292,178,170,1954,5101,2831,528,,7389,141,
24,200600,kolneński,31401,12891,12891,12481,88,283,5519,2001,3049,903,,579,59,
24,200700,łomżyński,40030,17164,17145,16619,117,313,10261,2345,1945,729,,793,116,
24,200800,moniecki,34696,13817,13814,13369,105,278,5775,3130,2558,572,,853,98,
24,200900,sejneński,17044,6646,6646,6470,43,66,1683,1807,1558,294,,963,56,
24,201000,siemiatycki,39981,17180,17179,16775,157,144,6942,4256,1884,425,,2881,86,
24,201100,sokólski,59110,24388,24381,23758,169,256,9608,6425,3890,654,,2542,214,
24,201200,suwalski,27636,11372,11369,11013,60,173,4302,2290,2592,499,,1014,83,
24,201300,wysokomazowiecki,47846,24488,24447,23984,117,547,14755,4096,2536,463,,1351,119,
24,201400,zambrowski,36761,17123,17121,16727,104,405,8141,4166,2154,349,,1335,73,
24,206101,m. Białystok,228590,138525,138413,136616,618,1675,43372,60696,3828,894,,23944,1589,
24,206201,m. Łomża,49209,25324,25317,24890,130,489,10403,8734,1035,213,,3666,220,
24,206301,m. Suwałki,52741,27335,27290,26822,155,242,8748,10206,1658,274,,5218,321,
25,220400,gdański,66955,37979,37952,37240,324,459,9638,20681,2536,371,,3231,,
25,220700,kwidzyński,63478,29304,29298,28586,303,389,7027,14652,1357,521,,4337,,
25,220900,malborski,50413,25382,25357,24842,264,305,5717,11270,2876,646,,3764,,
25,221000,nowodworski,28284,12999,12983,12633,121,126,2905,5622,1562,837,,1460,,
25,221300,starogardzki,94106,46402,46370,45174,550,637,15755,18961,3007,904,,5360,,
25,221400,tczewski,87411,43869,43856,42820,483,561,12453,20686,2765,809,,5063,,
25,221600,sztumski,34200,14428,14427,13974,162,193,3482,6372,1361,380,,2024,,
25,226101,m. Gdańsk,365395,246514,246108,243728,1497,3392,64862,145383,4825,1076,,22693,,
25,226401,m. Sopot,33340,23551,23535,23354,100,284,6082,14350,381,78,,2079,,
25,229901,Statki,160,160,160,153,0,5,38,96,6,0,,8,,
26,220100,bytowski,58674,27332,27323,26430,272,364,6718,11495,3300,778,,3503,,
26,220200,chojnicki,71248,37394,37375,36436,421,533,11148,16691,2477,861,,4305,,
26,220300,człuchowski,46133,21859,21856,21002,289,273,3459,8377,2322,558,,5724,,
26,220500,kartuski,80293,46106,46070,44914,444,928,16355,19774,3793,1025,,2595,,
26,220600,kościerski,51632,27563,27534,26745,274,328,9081,12476,1764,720,,2102,,
26,220800,lęborski,49703,25609,25577,25040,262,356,5979,12655,1697,462,,3629,,
26,221100,pucki,57797,32793,32782,31987,337,376,7895,17370,2845,417,,2747,,
26,221200,słupski,73366,32723,32715,31735,410,416,6893,14893,3090,896,,5137,,
26,221500,wejherowski,139623,81100,81059,79418,700,1178,22991,41636,4765,991,,7157,,
26,226201,m. Gdynia,200467,136584,136370,134764,936,1505,32689,78816,2998,593,,17227,,
26,226301,m. Słupsk,77618,45810,45751,45043,352,629,10494,22726,1742,539,,8561,,
26,229801,Statki,134,123,123,122,0,0,9,101,5,0,,7,,
27,240200,bielski,119832,71801,71760,70156,930,725,26152,29131,4387,600,,8231,,
27,240300,cieszyński,137220,78556,78507,76845,1117,768,21572,33597,5511,798,,13482,,
27,241000,pszczyński,81960,47041,46991,46117,582,481,19338,17144,3876,424,,4272,,
27,241700,żywiecki,118791,64608,64566,62685,829,902,27059,20789,5703,740,,6663,,
27,246101,m. Bielsko-Biała,140958,90329,90236,88960,1179,1066,27960,43328,3343,584,,11500,,
28,240400,częstochowski,107679,51751,51737,50408,827,777,15243,15949,9941,1019,,6652,,
28,240600,kłobucki,68282,32077,32071,31137,417,388,10234,9573,5902,580,,4043,,
28,240700,lubliniecki,61385,30123,30114,29236,339,383,10818,12401,1486,951,,2858,,
28,240900,myszkowski,58528,27880,27876,27088,365,312,8693,10230,2572,595,,4321,,
28,246401,m. Częstochowa,197770,119516,119371,117859,1531,2108,33988,54453,5145,767,,19867,,
29,240500,gliwicki,92232,44942,44915,43915,473,443,15039,19980,3046,484,,4450,,
29,241300,tarnogórski,112869,58819,58781,57578,501,574,19108,27854,3047,525,,5969,,
29,246201,m. Bytom,148556,72116,72023,70513,765,722,21268,33777,2879,533,,10569,,
29,246601,m. Gliwice,156216,91189,91095,89730,799,863,23291,47687,3984,563,,12543,,
29,247801,m. Zabrze,149533,69000,68938,67614,777,609,18834,34357,2288,601,,10148,,
30,240800,mikołowski,73229,42893,42885,42027,421,480,14921,20693,1988,334,,3190,,
30,241100,raciborski,90368,39360,39300,38467,432,493,9569,22796,1203,364,,3610,,
30,241200,rybnicki,58557,30238,30234,29516,436,296,12471,11819,1314,344,,2836,,
30,241500,wodzisławski,124837,66247,66177,64681,894,592,25043,26516,2800,697,,8139,,
30,246701,m. Jastrzębie-Zdrój,75222,41806,41764,40989,423,371,16595,14058,1415,316,,7811,,
30,247301,m. Rybnik,111899,61718,61678,60717,971,570,21378,28055,2296,532,,6915,,
30,247901,m. Żory,49238,26955,26953,26517,328,243,9771,11008,1055,304,,3808,,
31,241400,bieruńsko-lędziński,44235,24636,24626,24031,350,233,11306,9343,760,187,,1852,,
31,246301,m. Chorzów,91436,49309,49290,48248,789,597,12105,27358,1205,296,,5898,,
31,246901,m. Katowice,257450,159850,159620,157240,2927,1463,43877,83805,5099,836,,19233,,
31,247001,m. Mysłowice,60796,34570,34555,33955,473,400,11612,13933,996,208,,6333,,
31,247101,m. Piekary Śląskie,48231,25801,25794,25111,297,212,10718,10674,742,131,,2337,,
31,247201,m. Ruda Śląska,115751,62072,61988,60616,937,471,22366,27598,1761,380,,7103,,
31,247401,m. Siemianowice Śląskie,58608,32189,32178,31433,514,311,8614,16705,771,194,,4324,,
31,247601,m. Świętochłowice,43905,21444,21422,20954,417,220,6110,11096,517,140,,2454,,
31,247701,m. Tychy,105880,64826,64777,63894,820,623,19996,31005,3547,353,,7550,,
