TERYT,Powiat,Województwo,L. obw.,Liczba wyborców uprawnionych do głosowania,Komisja otrzymała kart do głosowania,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania",Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia,"Liczba wyborców, którym wysłano pakiety wyborcze",Liczba otrzymanych kopert zwrotnych,w których nie było oświadczenia,w których oświadczenie nie było podpisane,w których nie było koperty na kartę do głosowania,w których znajdowała się niezaklejona koperta,Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,w tym liczba kart wyjętych z kopert,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,Liczba głosów ważnych,Duda Andrzej Sebastian,Komorowski Bronisław Maria
1601,brzeski,opolskie,79,72529,62645,26770,35875,22,304,22,20,-,-,-,-,20,35893,20,1,35892,536,35356,18316,17040
1602,głubczycki,opolskie,52,38546,33536,14957,18579,13,185,14,14,1,-,-,-,13,18592,13,1,18591,247,18344,10277,8067
1603,kędzierzyńsko-kozielski,opolskie,64,76641,66884,31146,35738,6,263,20,17,-,-,-,-,17,35752,17,1,35751,643,35108,12971,22137
1604,kluczborski,opolskie,62,54479,47367,22006,25361,18,210,6,4,-,-,-,-,4,25363,4,-,25363,360,25003,11174,13829
1605,krapkowicki,opolskie,59,52425,45158,23637,21521,3,281,10,10,-,-,-,-,10,21528,10,-,21528,377,21151,7115,14036
1606,namysłowski,opolskie,55,34522,30114,12426,17688,10,146,4,4,-,-,-,-,4,17692,4,-,17692,249,17443,8244,9199
1607,nyski,opolskie,126,115233,100363,45558,54806,21,672,46,39,2,-,-,-,37,54838,37,-,54838,828,54010,27328,26682
1608,oleski,opolskie,58,53583,46125,22135,23990,9,253,9,9,-,-,-,-,9,23999,9,1,23998,441,23557,10345,13212
1609,opolski,opolskie,125,108394,93090,46584,46506,20,406,18,18,-,-,-,-,18,46520,18,1,46519,732,45787,15700,30087
1610,prudnicki,opolskie,72,45682,39710,18500,21210,15,202,4,4,-,-,-,-,4,21214,4,-,21214,276,20938,10056,10882
1611,strzelecki,opolskie,73,63046,54269,27818,26451,3,198,3,2,-,-,-,-,2,26452,2,-,26452,425,26027,9895,16132
1661,Opole,opolskie,72,95232,84578,29441,55134,31,938,60,55,-,-,-,1,54,55183,54,2,55181,990,54191,18124,36067
1801,bieszczadzki,podkarpackie,30,18002,15797,7420,8376,3,250,3,3,-,-,-,-,3,8380,3,-,8380,98,8282,4862,3420
1802,brzozowski,podkarpackie,59,52774,46004,16648,29356,81,273,5,5,-,-,-,-,5,29356,5,1,29355,258,29097,23337,5760
1803,dębicki,podkarpackie,109,106948,93539,32146,61393,23,411,26,24,2,-,-,-,22,61414,22,-,61414,753,60661,44925,15736
1804,jarosławski,podkarpackie,115,97196,84394,30824,53570,69,486,9,9,-,-,-,-,9,53572,9,1,53571,609,52962,38542,14420
1805,jasielski,podkarpackie,119,92763,80799,29449,51349,60,456,65,63,1,-,-,-,62,51408,62,3,51405,542,50863,37988,12875
1806,kolbuszowski,podkarpackie,64,49120,43294,17126,26168,28,152,4,4,-,-,-,-,4,26170,4,-,26170,371,25799,20781,5018
1807,krośnieński,podkarpackie,104,90726,78048,28176,49871,27,811,25,22,1,-,-,-,21,49890,21,-,49890,512,49378,35920,13458
1808,leżajski,podkarpackie,53,55155,48262,17326,30936,32,250,7,6,-,-,-,-,6,30941,6,1,30940,295,30645,25099,5546
1809,lubaczowski,podkarpackie,59,46516,40300,16983,23316,26,447,7,7,-,-,-,-,7,23322,7,3,23319,288,23031,15975,7056
1810,łańcucki,podkarpackie,57,63157,54671,16272,38398,29,332,13,13,-,-,-,1,12,38403,12,-,38403,356,38047,30053,7994
1811,mielecki,podkarpackie,117,107842,94075,33605,60470,36,395,22,18,-,-,-,-,18,60484,18,-,60484,765,59719,43635,16084
