country,country_code,nutslevel,nuts2016,regionname,type,year,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote
Spain,ES,3,ES241,Huesca,EP,1999,VERDES,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,6207,179029,120134,118941
Spain,ES,3,ES242,Teruel,EP,1999,BNG,GALICIAN NATIONALIST BLOCK,BLOQUE NACIONALISTA GALEGO,1011,11,118546,83224,82470
Spain,ES,3,ES242,Teruel,EP,1999,CE,UNITED NATIONAL MOVEMENT,ERTIANI NATSIONALURI MODZRAOBA,2172,10540,118546,83224,82470
Spain,ES,3,ES242,Teruel,EP,1999,CIU,CONVERGENCE AND UNITY,CONVERGENCIA I UNIO,139,73,118546,83224,82470
Spain,ES,3,ES242,Teruel,EP,1999,CN+EP,NA,NA,NA,17,118546,83224,82470
Spain,ES,3,ES242,Teruel,EP,1999,HB,UNITED PEOPLE,HERRI BATASUNA,473,45,118546,83224,82470
Spain,ES,3,ES242,Teruel,EP,1999,IU-EUIA,UNITED LEFT,IZQUIERDA UNIDA,247,2673,118546,83224,82470
Spain,ES,3,ES242,Teruel,EP,1999,OTHER,NA,NA,NA,1251,118546,83224,82470
Spain,ES,3,ES242,Teruel,EP,1999,PP,PEOPLE'S ALLIANCE-PARTY / PEOPLE'S PARTY,ALIANZA-PARTIDO POPULAR / PARTIDO POPULAR,441,36363,118546,83224,82470
Spain,ES,3,ES242,Teruel,EP,1999,PSOE,SPANISH SOCIALIST WORKERS PARTY,PARTIDO SOCIALISTA OBRERO ESPANOL,1338,27859,118546,83224,82470
Spain,ES,3,ES242,Teruel,EP,1999,VERDES,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,2139,118546,83224,82470
Spain,ES,3,ES243,Zaragoza,EP,1999,BNG,GALICIAN NATIONALIST BLOCK,BLOQUE NACIONALISTA GALEGO,1011,96,720790,451129,448003
Spain,ES,3,ES243,Zaragoza,EP,1999,CE,UNITED NATIONAL MOVEMENT,ERTIANI NATSIONALURI MODZRAOBA,2172,37496,720790,451129,448003
Spain,ES,3,ES243,Zaragoza,EP,1999,CIU,CONVERGENCE AND UNITY,CONVERGENCIA I UNIO,139,269,720790,451129,448003
Spain,ES,3,ES243,Zaragoza,EP,1999,CN+EP,NA,NA,NA,139,720790,451129,448003
Spain,ES,3,ES243,Zaragoza,EP,1999,HB,UNITED PEOPLE,HERRI BATASUNA,473,502,720790,451129,448003
Spain,ES,3,ES243,Zaragoza,EP,1999,IU-EUIA,UNITED LEFT,IZQUIERDA UNIDA,247,19016,720790,451129,448003
Spain,ES,3,ES243,Zaragoza,EP,1999,OTHER,NA,NA,NA,6203,720790,451129,448003
Spain,ES,3,ES243,Zaragoza,EP,1999,PP,PEOPLE'S ALLIANCE-PARTY / PEOPLE'S PARTY,ALIANZA-PARTIDO POPULAR / PARTIDO POPULAR,441,191942,720790,451129,448003
Spain,ES,3,ES243,Zaragoza,EP,1999,PSOE,SPANISH SOCIALIST WORKERS PARTY,PARTIDO SOCIALISTA OBRERO ESPANOL,1338,147082,720790,451129,448003
