,index,election_date,election_type,harmonised_code,harmonised_name,type,name,party_name,votes,nuts3_code,nuts3_name
7724,1,2019-11-10,president_a,RO317,Teleorman,1,issued_ballots,issued_ballots,155329,RO317,Teleorman
7725,0,2019-11-10,president_a,RO317,Teleorman,2,VASILICA-VIORICA DĂNCILĂ,Partidul Social Democrat,72006,RO317,Teleorman
7726,1,2019-11-10,president_a,RO317,Teleorman,2,KLAUS-WERNER IOHANNIS,Partidul Național Liberal,45840,RO317,Teleorman
7727,2,2019-11-10,president_a,RO317,Teleorman,2,MIRCEA DIACONU,PARTIDUL PRO ROMÂNIA,10238,RO317,Teleorman
7728,3,2019-11-10,president_a,RO317,Teleorman,2,ILIE-DAN BARNA,Uniunea Salvați România,9987,RO317,Teleorman
7729,4,2019-11-10,president_a,RO317,Teleorman,2,THEODOR PALEOLOGU,Partidul Miscarea Populară,5759,RO317,Teleorman
7730,5,2019-11-10,president_a,RO317,Teleorman,2,RAMONA-IOANA BRUYNSEELS,,3235,RO317,Teleorman
7731,6,2019-11-10,president_a,RO317,Teleorman,2,ALEXANDRU CUMPĂNAŞU,,2224,RO317,Teleorman
7732,7,2019-11-10,president_a,RO317,Teleorman,2,VIOREL CATARAMĂ,,650,RO317,Teleorman
7733,8,2019-11-10,president_a,RO317,Teleorman,2,BOGDAN-DRAGOS-AURELIU MARIAN-STANOEVICI,,469,RO317,Teleorman
7734,9,2019-11-10,president_a,RO317,Teleorman,2,CĂTĂLIN-SORIN IVAN,,447,RO317,Teleorman
7735,10,2019-11-10,president_a,RO317,Teleorman,2,HUNOR KELEMEN,UNIUNEA DEMOCRATA MAGHIARA DIN ROMANIA,433,RO317,Teleorman
7736,11,2019-11-10,president_a,RO317,Teleorman,2,SEBASTIAN-CONSTANTIN POPESCU,,415,RO317,Teleorman
7737,12,2019-11-10,president_a,RO317,Teleorman,2,JOHN-ION BANU,,340,RO317,Teleorman
7738,13,2019-11-10,president_a,RO317,Teleorman,2,NINEL PEIA,,293,RO317,Teleorman
7739,0,2014-11-02,president_a,RO316,Prahova,0,eligible_voters,eligible_voters,677354,RO316,Prahova
7740,1,2014-11-02,president_a,RO316,Prahova,1,issued_ballots,issued_ballots,382321,RO316,Prahova
7741,0,2014-11-02,president_a,RO316,Prahova,2,PONTA VICTOR-VIOREL,PSD,146440,RO316,Prahova
7742,1,2014-11-02,president_a,RO316,Prahova,2,IOHANNIS KLAUS-WERNER,PNL,102960,RO316,Prahova
7743,2,2014-11-02,president_a,RO316,Prahova,2,POPESCU-TARICEANU CALIN-CONSTANTIN-ANTON,,31185,RO316,Prahova
7744,3,2014-11-02,president_a,RO316,Prahova,2,UDREA ELENA-GABRIELA,PMP,24948,RO316,Prahova
7745,4,2014-11-02,president_a,RO316,Prahova,2,VADIM-TUDOR CORNELIU,PRM,19274,RO316,Prahova
7746,5,2014-11-02,president_a,RO316,Prahova,2,MACOVEI MONICA-LUISA,,16897,RO316,Prahova
7747,6,2014-11-02,president_a,RO316,Prahova,2,DIACONESCU CRISTIAN-DAN,Partidul Popular Dan Diaconescu,16694,RO316,Prahova
7748,7,2014-11-02,president_a,RO316,Prahova,2,MELESCANU TEODOR-VIOREL,,5673,RO316,Prahova
7749,8,2014-11-02,president_a,RO316,Prahova,2,BRINZA WILLIAM GABRIEL,PER,2826,RO316,Prahova
7750,9,2014-11-02,president_a,RO316,Prahova,2,FUNAR GHEORGHE,,1453,RO316,Prahova
7751,10,2014-11-02,president_a,RO316,Prahova,2,KELEMEN HUNOR,UDMR,1285,RO316,Prahova
7752,11,2014-11-02,president_a,RO316,Prahova,2,ROTARU CONSTANTIN,,1170,RO316,Prahova
7753,12,2014-11-02,president_a,RO316,Prahova,2,AMARITEI MIREL-MIRCEA,,423,RO316,Prahova
