"DATA_ELEZIONE";"DESCCIRCEUROPEA";"DESCREGIONE";"DESCPROVINCIA";"DESCCOMUNE";"ELETTORI";"ELETTORI_M";"ELETTORI_F";"VOTANTI";"VOTANTI_M";"VOTANTI_F";"NUMSCHEDEBIANCHE";"NUMSCHEDECONTESTAT";"DESCLISTA";"NUMVOTI"
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5128;2477;2651;2830;1369;1461;66;0;"PARTITO DEMOCRATICO";733
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5128;2477;2651;2830;1369;1461;66;0;"AZIONE - SIAMO EUROPEI";59
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5128;2477;2651;2830;1369;1461;66;0;"FRATELLI D'ITALIA";706
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ARQUATA SCRIVIA";5128;2477;2651;2830;1369;1461;66;0;"ALTERNATIVA POPOLARE";11
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"AVOLASCA";220;117;103;163;90;73;6;0;"ALTERNATIVA POPOLARE";1
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"AVOLASCA";220;117;103;163;90;73;6;0;"AZIONE - SIAMO EUROPEI";1
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"AVOLASCA";220;117;103;163;90;73;6;0;"PARTITO DEMOCRATICO";32
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"AVOLASCA";220;117;103;163;90;73;6;0;"ALLEANZA VERDI E SINISTRA";16
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"AVOLASCA";220;117;103;163;90;73;6;0;"PACE TERRA DIGNITA'";3
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"AVOLASCA";220;117;103;163;90;73;6;0;"LIBERTA'";1
