"CIRCOSCRIZIONE";"REGIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTILISTA"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"LISTA EMMA BONINO";"4"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"SOCIALISTI UNITI";"5"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"A.P. UDEUR";"21"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"MOV.IDEA SOC. RAUTI";"2"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"PARTITO PENSIONATI";"1"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"UNITI NELL'ULIVO";"175"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"DIPIETRO OCCHETTO";"6"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"FIAMMA TRICOLORE";"5"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"RIFONDAZIONE COMUNISTA";"61"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"LEGA NORD";"0"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"PRI I LIBERAL SGARBI";"3"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"PAESE NUOVO";"0"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"ALLEANZA LOMBARDA AUTONOMIA";"0"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"UNIONE DI CENTRO";"28"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"ALLEANZA NAZIONALE";"160"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"AB.SCORP.VERDI VERDI";"2"
"ITALIA MERIDIONALE";"Campania ";"Salerno";"PERITO";1069;515;631;323;60;"COMUNISTI ITALIANI";"7"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"ALLEANZA LOMBARDA AUTONOMIA";"2"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"FIAMMA TRICOLORE";"3"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"FED.DEI VERDI";"42"
