,teryt_code,eligible_voters,issued_ballots,spd,cdu,gruene,csu,rep,fdp,oedp,bp,cm,liga,solidariaet,bsa,apd,bfb,familie,dsu,graue,naturgesetz,autonome,npd,forum,pbc,pass,pds,pead,statt
516,A_16034,43257,29845,7671,9574,1651,0,1024,1313,77,33,26,31,19,7,291,198,0,350,238,120,44,72,469,35,279,5259,20,155
517,A_16035,22023,16916,3929,6172,937,0,632,786,53,28,33,27,23,3,144,109,0,106,132,74,15,37,204,68,118,2486,4,73
518,A_16036,48493,35370,8214,14312,1633,0,981,1822,58,29,47,72,15,5,264,157,0,342,254,101,26,58,360,87,209,4796,12,163
519,A_16037,23815,17455,4437,6536,799,0,499,629,40,34,8,25,10,8,156,136,0,247,145,65,12,40,251,54,166,2226,9,63
520,A_16038,48151,35434,8383,13215,2138,0,905,1901,70,44,26,35,37,14,373,233,0,172,282,117,19,79,379,29,330,5213,11,129
521,A_16039,39428,30028,7932,10613,1516,0,940,1203,49,25,21,38,13,15,186,164,0,207,244,108,12,70,266,36,256,4976,9,73
522,A_16040,45036,33856,8712,11116,1438,0,1371,1758,104,45,39,27,17,14,217,214,0,409,213,103,25,42,343,54,169,6026,14,91
523,A_16041,24263,18104,4143,6321,1103,0,537,974,58,39,20,30,22,5,170,132,0,130,174,76,16,44,346,15,160,2743,11,82
524,A_16042,31484,22894,5487,8170,1106,0,650,965,189,22,14,7,29,2,249,151,0,238,206,81,12,55,484,7,154,3390,13,92
525,A_16043,31775,24159,5444,9318,1560,0,719,1302,86,42,20,23,32,10,261,209,0,155,232,111,20,77,346,21,207,2820,6,110
526,A_16044,53753,41742,8063,22608,1388,0,814,1439,462,25,59,41,17,10,252,160,0,370,148,74,16,94,355,42,252,3848,6,106
527,A_16045,25571,19275,4550,7507,1068,0,623,808,42,40,16,29,21,5,208,141,0,231,174,67,17,45,242,25,190,2386,10,90
