,teryt_code,eligible_voters,issued_ballots,cdu,spd,fdp,linke,gruene,csu,piraten,npd,tierschutz,rep,oedp,familie,21rrp,renter,bp,pbc,bueso,violetten,mlpd,volksabstimmung,psg,afd,big,prodeutschland,rechte,frauen,freiewahler,nichwahler,vernunft,partei
333,A_12063,127579,88645,30471,21232,2682,16866,4756,0,1856,2423,0,165,0,0,0,0,0,0,0,0,76,0,0,5637,0,354,0,0,715,0,0,0
334,A_12064,158789,107823,34175,23571,2359,27132,4141,0,2406,2631,0,176,0,0,0,0,0,0,0,0,92,0,0,6489,0,512,0,0,1354,0,0,0
335,A_12065,168699,118279,42074,27480,3172,22527,5941,0,2616,3023,0,193,0,0,0,0,0,0,0,0,118,0,0,7667,0,522,0,0,1045,0,0,0
336,A_12066,99396,65377,24349,13222,1553,14853,1634,0,1359,2369,0,129,0,0,0,0,0,0,0,0,81,0,0,3740,0,299,0,0,611,0,0,0
337,A_12067,151368,104166,34632,22682,2329,24568,4009,0,2221,3425,0,221,0,0,0,0,0,0,0,0,145,0,0,6656,0,498,0,0,949,0,0,0
338,A_12068,85241,53472,19037,13255,1128,11708,2054,0,968,1202,0,55,0,0,0,0,0,0,0,0,47,0,0,2572,0,171,0,0,380,0,0,0
339,A_12069,168912,124063,43933,30303,4156,22508,8012,0,2535,2101,0,163,0,0,0,0,0,0,0,0,122,0,0,6954,0,485,0,0,879,0,0,0
340,A_12070,67889,44411,16267,10982,959,9985,1259,0,856,911,0,52,0,0,0,0,0,0,0,0,25,0,0,1898,0,185,0,0,345,0,0,0
341,A_12071,103695,71045,26507,14335,1685,14861,2082,0,1236,2712,0,151,0,0,0,0,0,0,0,0,69,0,0,4854,0,339,0,0,789,0,0,0
342,A_12072,133937,90129,30804,21150,2408,19468,4071,0,1866,1879,0,264,0,0,0,0,0,0,0,0,96,0,0,5382,0,345,0,0,847,0,0,0
343,A_12073,104774,66559,25101,15046,1265,14922,1970,0,1244,1793,0,104,0,0,0,0,0,0,0,0,56,0,0,3078,0,200,0,0,583,0,0,0
344,A_13003,169982,114208,39839,22326,2144,27979,8180,0,3049,1838,0,92,0,0,0,0,0,0,0,0,246,0,0,6157,0,172,0,0,795,0,0,0
345,A_13004,77730,52959,19163,11486,1100,11613,3013,0,1031,1105,0,16,0,0,0,0,0,0,0,0,67,0,0,3058,0,68,0,0,531,0,0,0
346,A_13071,225170,144876,62520,24050,2852,32299,4795,0,2496,3843,0,154,0,0,0,0,0,0,0,0,258,0,0,7668,0,278,0,0,1188,0,0,0
347,A_13072,177980,117944,52115,20665,2505,23826,4606,0,1705,2659,0,66,0,0,0,0,0,0,0,0,145,0,0,5885,0,205,0,0,1191,0,0,0
348,A_13073,191265,121306,55644,16799,2991,25061,4423,0,2275,2837,0,102,0,0,0,0,0,0,0,0,109,0,0,7793,0,271,0,0,1051,0,0,0
349,A_13074,129527,84213,33733,17630,1912,17056,3852,0,1429,2086,0,56,0,0,0,0,0,0,0,0,75,0,0,4346,0,159,0,0,758,0,0,0
