,teryt_code,eligible_voters,issued_ballots,cdu,spd,gruene,csu,linke,fdp,rep,tierschutz,familie,oedp,frauen,volksabstimmung,pbc,cm,aufbruch,dkp,bp,psg,bueso,50plus,auf,dvu,grauen,violetten,ede,fbi,volksentscheide,fw,newropeans,piraten,rrp,renter
303,A_09571,139927,57993,0,7168,5736,24989,1463,4822,904,377,363,1545,99,92,391,128,70,18,337,14,20,105,91,173,49,108,14,61,74,7495,17,326,229,278
304,A_09572,101142,47681,0,7815,6329,18822,1096,5049,434,324,259,580,79,69,130,53,49,7,171,6,6,101,43,106,42,49,15,55,64,4756,18,441,227,237
305,A_09573,89137,40808,0,6994,4421,13977,1099,3320,611,306,223,470,43,78,145,45,34,27,123,2,16,85,53,137,42,93,8,21,59,7386,17,301,220,194
306,A_09574,128474,59327,0,10788,7876,21864,1374,5376,1161,518,222,776,92,78,234,59,61,28,281,2,11,108,77,137,45,100,15,45,71,6484,24,352,351,335
307,A_09575,77364,33941,0,4179,3079,13806,726,2768,444,239,271,1066,56,55,131,61,37,17,170,11,3,66,53,74,28,49,10,44,42,5718,10,221,101,155
308,A_09576,96375,42840,0,6230,4162,18313,923,3531,491,300,235,521,72,79,118,45,44,13,222,3,13,86,80,119,51,94,6,37,73,5909,25,260,265,218
309,A_09577,72573,30477,0,4647,2735,13714,718,2576,366,229,151,818,47,51,141,58,36,10,166,6,9,49,49,91,38,82,2,19,31,2977,9,199,100,121
310,A_09661,49816,16972,0,2419,2525,7462,564,1879,285,121,75,220,47,25,29,18,23,8,56,4,1,35,10,45,26,48,4,19,14,373,7,162,119,127
311,A_09662,39730,14671,0,2981,1285,6489,852,1039,253,95,60,131,21,21,42,31,14,7,60,4,2,30,8,39,16,27,9,10,14,696,9,106,85,108
312,A_09663,100336,42802,0,6539,8542,16561,1336,4103,603,390,150,839,72,63,89,62,48,19,120,12,5,76,50,44,52,69,25,22,36,1559,32,546,230,231
313,A_09671,134051,54219,0,7532,5661,27162,1025,5395,1041,400,335,597,97,128,56,122,60,25,207,8,15,117,56,113,59,82,19,48,77,2053,15,408,257,368
314,A_09672,85489,38562,0,3820,2951,21950,1088,3024,746,254,257,456,55,75,102,101,42,14,202,12,11,69,28,75,38,74,5,35,56,2115,13,213,132,217
315,A_09673,65372,29006,0,2802,2129,17377,770,2151,385,150,185,297,49,32,54,70,34,8,174,8,3,47,30,46,35,39,7,19,30,1471,5,177,67,113
316,A_09674,68573,30758,0,4019,1914,16372,875,2259,415,168,176,567,68,49,49,51,44,18,215,4,7,53,17,72,17,36,4,38,35,2389,7,208,121,249
317,A_09675,69084,29986,0,3405,2468,14722,659,2278,539,196,169,500,47,37,104,30,30,6,187,11,3,33,21,56,22,42,6,31,35,3669,9,186,139,144
318,A_09676,96735,38667,0,5013,3349,20110,657,3430,533,294,266,732,93,102,48,64,49,12,168,9,3,92,38,96,54,76,5,42,47,2167,21,254,149,213
319,A_09677,102291,46274,0,5468,4199,22693,976,3224,674,361,217,490,65,76,111,42,56,18,205,13,10,76,30,84,27,84,8,45,51,5842,13,306,143,228
320,A_09678,91169,42167,0,5063,3324,23616,1258,2637,712,248,237,366,79,66,95,80,48,18,247,6,8,48,27,94,37,85,9,51,40,2655,9,245,149,252
321,A_09679,125868,61587,0,9066,7281,29300,1455,4756,1218,512,331,930,118,88,160,75,70,19,270,14,19,125,40,63,59,118,15,40,78,3862,27,468,235,308
322,A_09761,186147,68741,0,10402,10333,31896,2387,5388,773,617,216,1063,110,145,111,102,75,52,420,16,28,140,85,380,90,184,28,42,77,1407,41,744,420,446
323,A_09762,31748,11971,0,1113,1416,6345,343,1017,126,78,40,164,19,22,37,35,26,5,155,1,3,33,10,46,20,28,3,7,58,523,2,100,53,60
