,teryt_code,eligible_voters,issued_ballots,cdu,spd,csu,gruene,pds,fdp,rep,tierschutz,graue,npd,frauen,oedp,pbc,cm,bp,bueso,zentrum,familie,deutschland,unabhaengige,aufbruch,dkp,dp,psg
275,A_09361,33803,11466,0,1976,6405,1003,111,415,230,96,83,63,43,510,39,21,89,6,16,52,61,48,12,6,39,2
276,A_09362,96510,35188,0,5466,17153,5992,522,1441,437,291,240,169,109,2078,55,47,339,21,28,163,120,63,44,39,85,10
277,A_09363,33492,10947,0,2143,6050,874,109,399,195,86,58,64,35,295,14,20,76,7,9,76,55,136,17,16,20,11
278,A_09371,82529,31497,0,5535,18658,1927,191,920,631,253,127,174,108,1331,106,64,371,18,32,197,190,142,50,23,56,19
279,A_09372,101500,30785,0,3133,21269,1459,125,730,668,240,137,187,104,834,76,83,507,13,30,155,156,35,39,22,357,13
280,A_09373,95956,40067,0,4150,27822,2687,226,1093,581,301,152,212,112,1133,68,74,413,18,47,230,133,59,44,25,73,15
281,A_09374,77126,29048,0,5180,17503,1260,133,800,608,213,98,229,115,727,42,68,313,6,21,178,121,865,44,13,56,23
282,A_09375,137989,52910,0,7290,31422,4255,437,1709,1060,435,198,230,165,3285,76,76,721,33,60,356,209,92,57,25,147,34
283,A_09376,113446,38000,0,6953,23434,1909,275,863,822,291,166,197,155,1042,51,94,467,12,43,241,199,63,45,32,91,17
284,A_09377,62244,23896,0,3675,15807,1044,115,610,387,200,116,140,97,380,23,72,225,11,33,142,108,311,26,16,35,16
285,A_09461,52994,20211,0,2762,10449,3607,218,1035,502,175,124,71,88,382,45,25,164,12,19,121,87,42,28,24,29,14
286,A_09462,57836,21667,0,4365,10708,3069,286,1284,380,192,127,100,87,212,113,44,90,12,22,102,87,56,32,22,82,11
287,A_09463,32836,12288,0,2778,5811,1562,182,742,177,102,75,120,40,253,35,15,56,4,9,82,52,22,11,12,37,8
288,A_09464,37200,12633,0,2571,7096,922,140,483,393,125,73,46,31,122,141,22,68,6,11,72,59,30,13,12,36,3
289,A_09471,110652,45116,0,5052,29408,3330,261,1427,1618,374,185,333,170,637,160,94,640,22,37,351,241,127,86,34,75,21
290,A_09472,85897,34394,0,6205,20822,2381,256,1027,1086,276,164,196,117,355,128,55,263,14,26,230,172,94,51,20,48,21
291,A_09473,71566,27927,0,6803,14817,2076,285,1151,412,224,106,447,99,310,77,24,176,9,16,230,122,42,40,13,42,24
292,A_09474,86136,36900,0,5196,22164,3835,275,1388,1306,315,176,275,129,457,187,69,244,13,24,233,120,67,35,21,52,15
293,A_09475,84979,32562,0,7106,19210,1799,267,893,716,302,159,131,96,296,385,63,202,13,30,203,143,48,36,20,81,21
294,A_09476,59899,32839,0,8464,18420,1217,212,728,532,239,87,409,116,170,125,41,142,7,21,170,121,40,27,17,47,25
295,A_09477,62562,25003,0,5671,13579,1875,193,939,648,222,94,368,75,249,102,46,130,11,23,166,114,51,27,25,48,14
296,A_09478,55311,21726,0,3534,13831,1195,127,602,364,147,98,495,90,256,106,49,149,10,22,129,99,33,37,13,42,15
297,A_09479,66236,23562,0,5712,13219,1323,178,601,427,261,133,240,70,185,117,38,182,12,27,152,127,41,29,16,59,21
298,A_09561,30836,11208,0,2142,5221,1664,117,418,333,111,81,51,45,510,94,18,50,8,12,84,54,30,14,19,17,5
299,A_09562,73606,37815,0,7879,16162,7633,536,2094,350,336,245,173,167,903,105,35,139,30,13,212,121,91,45,43,64,35
300,A_09563,79988,29153,0,6896,12886,4284,511,1091,639,332,247,505,127,371,125,24,141,14,52,226,145,68,31,34,43,26
301,A_09564,337154,138384,0,30828,62750,21893,2732,5068,2711,1446,1311,1632,542,1668,573,155,637,78,156,799,723,290,257,179,267,98
302,A_09565,28694,11376,0,2347,5563,1585,125,458,218,125,90,77,44,231,99,17,59,4,19,66,45,20,18,7,23,6
303,A_09571,138510,52414,0,7745,30399,5384,389,1766,1656,394,220,308,218,1228,656,106,338,38,44,389,215,103,74,36,114,28
304,A_09572,98184,43536,0,8055,23147,6139,403,2078,554,362,276,308,150,581,174,52,197,23,42,279,137,97,47,19,51,15
305,A_09573,87254,38514,0,8241,19167,4806,393,1562,938,414,287,347,160,485,237,78,217,18,38,274,169,82,72,18,62,16
306,A_09574,127650,55596,0,11847,28031,7342,517,2180,1208,529,313,397,205,663,418,83,385,22,100,337,185,100,73,80,66,20
307,A_09575,76525,30365,0,5114,17453,2926,207,1051,589,245,115,342,100,860,213,45,177,11,35,282,88,59,48,19,55,14
308,A_09576,94887,39501,0,6949,22770,4220,325,1401,681,395,252,240,137,481,202,50,242,22,66,258,140,87,50,22,52,25
309,A_09577,72468,30307,0,4690,18571,2522,243,850,693,209,115,149,102,925,228,52,176,17,29,166,89,48,40,23,28,13
310,A_09661,49786,16558,0,2663,8619,2285,281,993,392,127,146,75,84,200,23,40,58,10,12,103,73,41,20,19,27,5
311,A_09662,40029,14054,0,3282,7101,1177,167,556,591,105,130,97,49,214,48,35,54,3,10,76,78,25,13,10,34,16
312,A_09663,98542,40581,0,6433,17447,8517,579,2425,1833,353,310,89,165,1107,136,60,125,20,35,211,115,76,55,30,41,25
313,A_09671,131888,53477,0,8020,30902,5401,478,2551,1574,541,322,191,227,593,44,172,251,28,48,465,262,134,82,45,85,29
314,A_09672,85824,36183,0,4351,23106,2657,224,1348,1305,302,193,157,146,664,142,110,203,28,40,248,246,65,37,22,66,26
315,A_09673,65689,28068,0,2984,18895,1861,184,990,921,189,129,152,131,285,71,89,156,9,32,195,161,36,48,22,69,20
316,A_09674,68427,27680,0,4272,16370,1901,192,1156,824,219,115,551,100,690,79,58,212,6,36,214,122,45,34,16,60,18
317,A_09675,67530,26924,0,4063,15555,2254,180,1152,1087,216,142,312,162,677,128,73,184,10,21,187,90,62,30,22,31,10
318,A_09676,95789,36694,0,5804,21873,3149,286,1674,888,327,160,161,155,480,65,88,173,15,31,300,176,86,53,22,91,34
319,A_09677,101663,40878,0,6342,23887,3665,283,1597,1455,450,202,129,154,798,218,56,218,25,53,285,195,75,63,22,74,32
320,A_09678,90231,38507,0,5627,23571,2864,293,1284,1479,293,245,243,188,567,119,146,210,20,36,298,206,85,59,12,75,24
321,A_09679,122550,53518,0,8884,27945,6529,447,2484,2695,563,336,191,227,1106,177,93,251,29,41,391,156,116,45,40,66,28
322,A_09761,178486,68160,0,11136,35348,10257,768,2728,1693,753,532,297,265,1203,214,152,526,66,80,364,436,150,124,66,156,42
323,A_09762,32006,18649,0,2399,10961,1545,135,905,523,236,114,105,98,195,38,42,326,16,20,143,145,239,31,12,37,20
324,A_09763,46375,17188,0,2476,9519,1802,160,907,698,213,146,48,68,359,59,76,139,11,21,101,79,26,28,12,39,6
325,A_09764,29709,17012,0,2869,9150,1511,111,640,318,196,162,208,80,551,146,45,164,11,16,128,109,44,41,15,18,9
326,A_09771,94144,38971,0,4159,24680,4012,227,1468,1177,323,196,130,119,920,106,97,395,25,37,254,138,73,40,25,42,13
327,A_09772,178266,72941,0,9083,45021,7565,434,3051,1710,668,458,273,293,1305,172,141,666,42,79,486,319,153,96,39,131,28
