"JKV_TÍPUS","SZAVAZÓKÖR_AZON","JKV_AZONOSÍTÓ","MEGYEKÓD","MEGYE","TELEPÜLÉS_SORSZÁM","TELEPÜLÉS","SZAVAZÓKÖR","VÁLASZTÓPOLGÁR","MEGJELENTEK","URNÁBAN_BÉLYEGZÉS_NÉLKÜLI","URNÁBAN_LEBÉLYEGZETT","ELTÉRÉS","ÉRVÉNYTELEN","ÉRVÉNYES","LISTA","SZAVAZAT"
,"01002015T",31559,,,,,,,,,,,,,"LMP",44
,"01002015T",31559,,,,,,,,,,,,,"MSZP",33
,"01002015T",31559,,,,,,,,,,,,,"JOBBIK",13
,"01002015T",31559,,,,,,,,,,,,,"SMS",0
,"01002015T",31559,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","01002016F",31560,"01","BUDAPEST","002","Budapest II.ker.",16,973,558,0,557,-1,1,556,,
,"01002016T",31560,,,,,,,,,,,,,"FIDESZ-KDNP",286
,"01002016T",31560,,,,,,,,,,,,,"EGYÜTT-PM",89
,"01002016T",31560,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",67
,"01002016T",31560,,,,,,,,,,,,,"MSZP",51
,"01002016T",31560,,,,,,,,,,,,,"LMP",43
,"01002016T",31560,,,,,,,,,,,,,"JOBBIK",17
,"01002016T",31560,,,,,,,,,,,,,"SMS",2
,"01002016T",31560,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
"Belföldi","01002017F",31378,"01","BUDAPEST","002","Budapest II.ker.",17,891,422,0,422,0,0,422,,
,"01002017T",31378,,,,,,,,,,,,,"FIDESZ-KDNP",184
,"01002017T",31378,,,,,,,,,,,,,"EGYÜTT-PM",79
,"01002017T",31378,,,,,,,,,,,,,"MSZP",46
,"01002017T",31378,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",41
,"01002017T",31378,,,,,,,,,,,,,"LMP",38
,"01002017T",31378,,,,,,,,,,,,,"JOBBIK",34
,"01002017T",31378,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
,"01002017T",31378,,,,,,,,,,,,,"SMS",0
"Belföldi","01002018F",31561,"01","BUDAPEST","002","Budapest II.ker.",18,859,482,0,482,0,5,477,,
,"01002018T",31561,,,,,,,,,,,,,"FIDESZ-KDNP",219
,"01002018T",31561,,,,,,,,,,,,,"EGYÜTT-PM",96
