"SZAVAZÓKÖR_AZON","JKV_AZONOSÍTÓ","'LISTÁS'","MEGYEKÓD","MEGYE","OEVK","SZÉKHELY","SZH_KER","TELEPÜLÉS_SORSZÁM","TELEPÜLÉS","SZAVAZÓKÖR","VÁLASZTÓPOLGÁR","MEGJELENTEK","URNÁBAN_LEVŐ","ELTÉRÉS","ÉRVÉNYTELEN","ÉRVÉNYES","LISTA_TÍPUS","LISTA","SZAVAZAT","NEMZ_VÁLASZTÓPOLGÁR","NEMZ_MEGJELENTEK","NEMZ_URNÁBAN_LÉVŐ","NEMZ_ELTÉRÉS","NEMZ_ÉRVÉNYTELEN"
"01001012T",227689,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",338,,,,,
"01001012T",227689,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",333,,,,,
"01001012T",227689,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",53,,,,,
"01001012T",227689,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",10,,,,,
"01001012T",227689,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",9,,,,,
"01001012T",227689,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",1,,,,,
"01001012T",227689,,,,,,,,,,,,,,,,"Nemzetiségi","ORSZÁGOS SZLOVÁK ÖNKORMÁNYZAT",1,1,1,1,0,0
"01001012T",227689,,,,,,,,,,,,,,,,"Nemzetiségi","MAGYARORSZÁGI NÉMETEK ORSZÁGOS ÖNKORMÁNYZATA",0,1,0,0,0,0
"01001012T",227689,,,,,,,,,,,,,,,,"Nemzetiségi","ORSZÁGOS ÖRMÉNY ÖNKORMÁNYZAT",0,1,1,1,0,1
"01001013F",227691,"Listás","01","BUDAPEST","01","Budapest","05","001","Budapest I. kerület","013",984,777,777,0,5,772,,,,,,,,
"01001013T",227691,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",369,,,,,
"01001013T",227691,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",340,,,,,
"01001013T",227691,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",32,,,,,
"01001013T",227691,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",22,,,,,
"01001013T",227691,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",5,,,,,
"01001013T",227691,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",2,,,,,
"01001013T",227691,,,,,,,,,,,,,,,,"Nemzetiségi","MAGYARORSZÁGI GÖRÖGÖK ORSZÁGOS ÖNKORMÁNYZATA",1,1,1,1,0,0
"01001013T",227691,,,,,,,,,,,,,,,,"Nemzetiségi","MAGYARORSZÁGI NÉMETEK ORSZÁGOS ÖNKORMÁNYZATA",1,3,2,2,0,1
"01001014F",227693,"Listás","01","BUDAPEST","01","Budapest","05","001","Budapest I. kerület","014",997,812,812,0,4,808,,,,,,,,
"01001014T",227693,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",405,,,,,
"01001014T",227693,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",295,,,,,
"01001014T",227693,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",78,,,,,
"01001014T",227693,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",16,,,,,
"01001014T",227693,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",9,,,,,
"01001014T",227693,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",4,,,,,
"01001014T",227693,,,,,,,,,,,,,,,,"Nemzetiségi","ORSZÁGOS ÖRMÉNY ÖNKORMÁNYZAT",1,1,1,1,0,0
"01001015F",227695,"Listás","01","BUDAPEST","01","Budapest","05","001","Budapest I. kerület","015",896,702,700,0,4,696,,,,,,,,
"01001015T",227695,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",325,,,,,
"01001015T",227695,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",284,,,,,
"01001015T",227695,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",55,,,,,
"01001015T",227695,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",21,,,,,
"01001015T",227695,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",9,,,,,
"01001015T",227695,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",0,,,,,
"01001015T",227695,,,,,,,,,,,,,,,,"Nemzetiségi","MAGYARORSZÁGI NÉMETEK ORSZÁGOS ÖNKORMÁNYZATA",1,1,1,1,0,0
"01001015T",227695,,,,,,,,,,,,,,,,"Nemzetiségi","ORSZÁGOS ÖRMÉNY ÖNKORMÁNYZAT",1,1,1,1,0,0
"01001016F",227697,"Listás","01","BUDAPEST","01","Budapest","05","001","Budapest I. kerület","016",832,677,678,0,9,669,,,,,,,,
