,teryt_code,eligible_voters,issued_ballots,PATRIOTYCZNY,PPP,LPR,PD,SD,PIS,SLD,PO,PPN,PSL,CENTRUM,PKM,OKO,GIP,SAMOOBRONA,IRP,DO,NOP,SPRACY,SR,MN,MNS
267,T_2462,152945,50885,402,477,2786,1462,1781,14643,6351,14845,136,540,0,862,0,203,3616,54,0,0,0,0,0,910
268,T_2466,159588,64311,559,492,3096,1839,2375,16280,8309,22810,130,718,0,1166,0,190,3558,37,0,0,0,0,0,1072
269,T_2478,151785,46828,405,449,1943,1270,2208,12342,5901,14302,127,610,0,806,0,151,3683,107,0,0,0,0,0,924
270,T_2408,72284,32199,203,286,2039,374,562,10062,2012,12320,57,737,31,580,0,49,1817,0,0,0,0,0,0,0
271,T_2411,90898,28637,197,217,1676,451,799,5218,2323,13047,74,879,49,405,0,70,2255,0,0,0,0,0,0,0
272,T_2412,57697,23471,127,199,2650,286,567,7758,1565,5749,99,1154,53,248,0,64,2001,0,0,0,0,0,0,0
273,T_2415,123687,50219,296,449,3153,954,1082,14663,6251,15277,164,1213,312,642,0,148,4080,0,0,0,0,0,0,0
274,T_2467,76081,31415,172,248,1863,306,794,9282,7304,6890,89,439,583,366,0,72,1995,0,0,0,0,0,0,0
275,T_2473,111999,46770,271,554,2607,965,1370,17359,4350,12995,98,757,83,578,0,134,3528,0,0,0,0,0,0,0
276,T_2479,49932,19242,102,179,1753,375,569,6059,2382,4874,37,429,58,262,0,69,1494,0,0,0,0,0,0,0
277,T_2414,43385,18840,138,217,1300,275,415,7490,1299,5235,47,197,0,213,0,42,1238,0,0,0,0,0,0,0
278,T_2463,92764,34327,298,443,1635,1483,1490,8869,4036,12121,129,250,0,660,0,144,1702,0,0,0,0,0,0,0
279,T_2469,259956,116772,868,1034,5120,4158,5919,30574,12185,44104,433,1951,0,2307,0,276,4719,0,0,0,0,0,0,0
280,T_2470,60636,24684,209,224,1298,581,1128,8101,2908,7161,87,249,0,416,0,83,1508,0,0,0,0,0,0,0
281,T_2471,48333,19404,139,118,589,500,609,10488,1165,3493,59,301,0,216,0,106,912,0,0,0,0,0,0,0
282,T_2472,117074,45059,329,713,1982,1624,2172,13335,4356,15188,106,367,0,564,0,155,2685,0,0,0,0,0,0,0
283,T_2474,59615,21871,167,210,753,546,798,6141,2636,7917,70,247,0,364,0,72,1140,0,0,0,0,0,0,0
284,T_2476,44688,14719,129,241,854,549,584,4142,1465,4717,54,181,0,267,0,65,899,0,0,0,0,0,0,0
285,T_2477,106504,46157,337,539,2953,1482,2181,14687,4787,14017,101,533,0,882,0,120,2374,0,0,0,0,0,0,0
286,T_2401,126684,45558,429,720,3124,1125,3027,10978,9094,11076,175,1933,0,1355,124,327,0,0,0,0,0,0,0,0
287,T_2416,103457,38017,426,700,3026,547,1410,7903,9647,8590,123,2867,0,847,142,186,0,0,0,0,0,0,0,0
288,T_2465,106477,37469,345,834,2269,779,3094,8975,7584,9596,131,872,0,1236,129,246,0,0,0,0,0,0,0,0
289,T_2468,76861,29433,613,455,2292,1355,1539,6429,3633,10437,80,584,0,587,63,184,0,0,0,0,0,0,0,0
290,T_2475,189654,69602,618,1117,4638,1771,5336,17070,14780,17863,291,1330,0,1922,198,396,0,0,0,0,0,0,0,0
291,T_2601,61936,22153,381,105,1053,148,571,3334,1782,3165,64,5817,68,152,47,0,4549,23,72,0,0,0,0,0
292,T_2602,72209,23895,168,329,1330,148,505,5292,1934,2044,50,4636,130,179,142,0,5817,57,58,0,0,0,0,0
293,T_2603,29947,9040,75,47,302,54,177,1421,590,670,13,2518,227,48,17,0,2488,17,10,0,0,0,0,0
294,T_2604,151735,50594,1260,423,3923,454,2229,10202,4924,5833,138,8859,332,549,237,0,8583,104,268,0,0,0,0,0
295,T_2605,70318,25155,284,168,1767,200,682,7029,3123,3234,74,1742,120,340,45,0,4890,69,130,0,0,0,0,0
296,T_2606,46070,15658,205,81,1020,89,414,2172,982,930,37,4737,41,103,45,0,3785,29,82,0,0,0,0,0
297,T_2607,97137,32650,268,211,1359,234,2092,6778,4726,5549,64,3791,425,303,39,0,5262,140,73,0,0,0,0,0
298,T_2608,35167,11937,192,151,671,106,252,1646,1210,1224,40,2219,65,70,19,0,3516,21,24,0,0,0,0,0
299,T_2609,66437,24837,224,170,1543,202,578,5800,1981,2180,51,5871,82,306,79,0,4468,34,61,0,0,0,0,0
300,T_2610,67692,26032,412,161,1709,461,1793,8541,2617,5246,63,802,88,467,35,0,2383,30,207,0,0,0,0,0
301,T_2611,77882,27095,654,187,1795,376,1266,5846,2913,4656,73,2646,210,321,60,0,4608,55,301,0,0,0,0,0
302,T_2612,59589,19958,355,104,1007,285,1167,3410,2807,2169,49,2938,196,273,50,0,4287,29,29,0,0,0,0,0
