,teryt_code,eligible_voters,issued_ballots,KE,LEWICA,POLEXIT,JEDNOSC,PIS,EC,WIOSNA,KONFEDERACJA,KUKIZ15,GWIAZDOWSKI
127,T_1213,122042,60592,20233,642,274,0,30726,0,2900,2211,2520,521
128,T_1214,35189,14579,2539,84,42,0,9264,0,378,430,1645,47
129,T_1215,66927,30457,5986,221,132,0,20110,0,938,1262,1232,212
130,T_1216,159302,72190,11841,493,209,0,50900,0,1745,2899,2803,445
131,T_1217,54484,24863,6224,169,81,0,15287,0,711,1037,1062,127
132,T_1218,126325,57890,14637,530,267,0,33812,0,2494,2426,2677,483
133,T_1219,97204,47873,14379,411,147,0,25262,0,2448,2282,2124,458
134,T_1261,586275,330811,144615,4690,1038,0,118494,0,27632,16439,12309,3962
135,T_1262,64963,32731,9732,236,129,0,17829,0,1634,1458,1290,225
136,T_1263,88970,43152,15986,356,150,0,20129,0,2142,2313,1466,352
137,T_1401,26881,11554,2462,54,0,20,7919,0,236,358,326,47
138,T_1402,71725,28852,8763,215,0,71,16316,0,1116,1066,772,223
139,T_1403,85629,39014,6846,211,0,97,27018,0,1071,1492,1605,265
140,T_1404,37017,14359,3991,92,0,53,8453,0,624,447,423,99
141,T_1405,71481,38320,15288,542,0,0,14628,0,3603,1804,1654,604
142,T_1406,78619,34394,9841,244,0,108,19252,0,1545,1622,1209,260
143,T_1407,50076,21994,4874,161,0,53,14183,0,800,841,733,145
144,T_1408,88041,47732,20107,642,0,0,17624,0,4213,2060,1871,874
145,T_1409,28465,10940,2208,94,0,31,7218,0,286,518,369,70
146,T_1410,25513,10613,1816,82,0,39,7337,0,251,505,415,66
147,T_1411,36606,15066,3487,84,0,35,9926,0,321,553,398,79
148,T_1412,118499,57655,17753,625,0,160,29648,0,3055,2965,2253,705
149,T_1413,57775,22031,6068,154,0,75,13006,0,887,832,619,150
150,T_1414,62219,27400,9143,295,0,0,12869,0,2148,1181,1146,349
151,T_1415,70658,27383,5248,150,0,65,18691,0,607,1072,1051,169
152,T_1416,58910,24647,5286,127,0,45,16514,0,742,894,677,152
153,T_1417,95408,51307,16434,585,0,0,24292,0,3709,2543,2509,807
154,T_1418,135494,75573,33677,947,0,0,26209,0,6776,3271,2986,1171
155,T_1419,88474,34002,8959,226,0,107,20408,0,1421,1086,1052,311
156,T_1420,70242,25394,7020,206,0,69,14862,0,1057,908,714,211
157,T_1421,124710,71976,29921,952,0,0,25851,0,6665,3329,3656,1206
158,T_1422,41514,15701,3881,107,0,43,9994,0,374,651,395,92
159,T_1423,34756,16101,2469,93,0,35,11664,0,316,495,774,74
160,T_1424,41270,16809,4933,94,0,40,9827,0,578,637,396,116
161,T_1425,120293,52444,9600,276,0,126,36459,0,1677,1990,1523,372
162,T_1426,64899,29113,4093,199,0,72,21239,0,671,1423,891,236
163,T_1427,41702,15162,3993,107,0,39,9170,0,612,522,413,114
164,T_1428,66305,29212,8470,262,0,62,16199,0,1406,1157,857,558
165,T_1429,44848,20330,4155,115,0,47,13995,0,529,753,479,110
166,T_1430,32049,13454,2309,111,0,32,9488,0,400,494,391,103
167,T_1432,88960,49156,19628,681,0,0,19121,0,4279,2431,1906,789
168,T_1433,53523,23734,5135,108,0,53,16057,0,584,827,586,110
169,T_1434,181965,90776,26024,1050,0,0,45252,0,6913,5034,4325,1477
170,T_1435,58487,25818,6958,163,0,61,15472,0,795,1233,715,159
171,T_1436,29560,11774,2225,72,0,41,8096,0,353,429,349,82
172,T_1437,31525,11575,3209,66,0,21,7039,0,419,282,314,71
173,T_1438,58466,26510,8702,297,0,92,13041,0,1702,1236,888,306
174,T_1461,41014,18643,5835,126,0,41,9314,0,755,885,1411,143
175,T_1462,94115,44683,19025,408,0,93,18843,0,2893,1537,1241,333
176,T_1463,163344,80565,28347,677,0,205,40585,0,3875,3373,2521,554
177,T_1464,59929,29290,9145,428,0,80,14925,0,1344,1840,1069,299
178,T_1465,1346633,842537,419607,16599,0,0,233422,0,89734,37261,27179,14680
179,T_1499,111630,98262,35840,2483,0,0,28474,0,14396,12856,2589,1031
180,T_1601,70612,28908,10108,278,0,0,12629,0,1303,1192,3207,0
181,T_1602,37184,13921,4693,148,0,0,7316,0,497,584,547,0
182,T_1603,73901,27532,12650,354,0,0,9252,0,2255,1459,1299,0
183,T_1604,52857,19667,9178,167,0,0,7809,0,777,855,699,0
184,T_1605,50723,15266,7565,201,0,0,4999,0,799,736,798,0
185,T_1606,34201,13458,5228,161,0,0,6259,0,616,558,527,0
186,T_1607,111621,43154,15680,462,0,0,21062,0,1697,1742,2143,0
187,T_1608,52518,18211,7502,197,0,0,7871,0,805,877,767,0
188,T_1609,98892,32714,16343,407,0,0,10508,0,1641,1425,2039,0
189,T_1610,44216,15749,5727,182,0,0,7402,0,573,708,998,0
190,T_1611,61119,19247,9165,248,0,0,6927,0,841,1003,851,0
191,T_1661,99384,50600,28620,695,0,0,12741,0,3374,2405,2507,0
192,T_1801,18011,6683,2092,56,20,0,3462,0,289,497,193,0
193,T_1802,52817,22161,2721,109,61,0,16970,0,382,1090,628,0
