,teryt_code,eligible_voters,issued_ballots,Grabowski,Ikonowicz,Kalinowski,KorwinMikke,Krzaklewski,Kwasniewski,Lepper,Lopuszanski,Olechowski,Pawlowski,Walesa,Wilecki
72,T_0620,85523,47742,187,74,12782,291,9058,16639,3629,453,3407,41,333,92
73,T_0661,42233,26624,167,107,1367,402,4677,13859,729,473,4209,44,303,62
74,T_0662,53344,32297,225,106,1300,484,4989,18441,898,178,4991,32,308,78
75,T_0663,272386,178843,1335,596,6369,4431,38790,80527,2972,2902,36463,232,2039,520
76,T_0664,50778,32212,235,64,1965,506,6704,16008,752,446,4873,44,226,78
77,T_0801,45794,26158,81,49,929,253,2703,17320,805,86,3380,14,207,35
78,T_0802,43995,25773,107,66,544,249,2556,17906,643,51,3125,18,204,40
79,T_0803,45023,27427,124,49,890,283,2651,19257,707,61,2951,17,171,37
80,T_0804,94049,56978,285,86,1900,614,7131,36624,1510,198,7522,37,451,71
81,T_0805,34149,20124,85,36,475,198,2061,13666,540,62,2643,11,113,23
82,T_0806,37968,22202,68,29,778,170,1906,15971,686,53,2144,13,160,29
83,T_0807,27062,15565,72,20,611,137,1953,9992,488,44,1856,8,150,49
84,T_0808,41719,26044,90,42,856,315,3261,16668,588,105,3607,21,188,25
85,T_0809,63189,37929,154,54,1051,453,4128,25169,883,139,5145,22,292,40
86,T_0810,63720,37455,171,74,1298,314,4090,25467,995,118,4149,41,314,54
87,T_0811,76118,44429,187,73,825,423,4948,30221,1071,129,5552,41,411,77
88,T_0861,96402,62162,269,146,948,972,8964,37525,882,297,10927,46,594,78
89,T_0862,90241,61124,299,163,838,1151,8410,36322,789,206,11833,47,538,63
90,T_1001,82636,50192,308,224,3160,791,5461,29087,2561,581,6454,68,491,197
91,T_1002,85697,52158,226,141,5584,514,4936,32134,2737,257,4584,64,331,87
92,T_1003,39668,22491,148,68,1980,324,2554,12587,1628,234,2483,31,158,31
93,T_1004,43797,24885,102,54,3642,173,2354,13317,2747,107,1839,14,136,42
94,T_1005,65457,39835,163,59,9575,342,3667,18870,1831,461,3940,45,307,50
95,T_1006,71028,41100,199,96,3778,685,6942,19363,2339,375,6160,52,424,87
96,T_1007,60091,35849,190,94,6683,398,5240,16076,2314,486,3224,43,393,157
97,T_1008,95432,59807,324,210,1955,1203,8492,32867,1925,736,10578,95,663,127
98,T_1009,41654,24317,99,45,2158,252,2360,14791,1640,120,2337,18,127,50
99,T_1010,68659,37358,195,87,7474,372,4915,15589,3794,294,3528,62,307,157
100,T_1011,34355,19603,55,44,2977,133,1697,10633,2054,83,1398,27,125,31
101,T_1012,93973,54788,232,194,4774,533,5256,32954,2767,310,6290,58,466,155
102,T_1013,38600,20823,79,46,4304,168,1933,9945,1480,151,2219,27,167,44
103,T_1014,94019,58998,259,155,8576,579,6514,31650,3719,346,5851,64,411,112
104,T_1015,29499,17541,66,27,5103,148,1445,7819,1130,163,1252,17,95,26
105,T_1016,96616,56629,311,203,5418,713,8536,29345,2167,326,7780,71,587,230
106,T_1017,61079,39039,145,79,4604,415,3245,23363,2172,191,4050,33,234,34
107,T_1018,32475,20338,83,32,2622,182,2118,11859,1099,134,1827,20,108,26
108,T_1019,51843,33183,171,69,1692,490,4250,19694,1158,233,4689,42,274,59
109,T_1020,125488,75665,371,204,3362,1152,10139,43259,3093,567,11705,95,674,147
110,T_1061,640015,413246,2017,1304,4726,10212,56257,240412,6218,3073,79665,525,4022,669
111,T_1062,63427,39361,323,153,1196,892,5874,22011,954,426,6439,66,435,179
112,T_1063,36868,24000,150,67,898,414,2223,14817,374,560,4059,35,191,46
113,T_1201,70399,43324,247,76,4319,563,9252,16503,1188,442,9444,33,536,60
114,T_1202,64214,38794,145,57,3543,361,9294,13647,1335,297,8747,25,532,59
115,T_1203,100143,67321,401,153,1148,863,8205,43127,1273,362,10373,41,574,93
116,T_1204,42696,23146,60,28,4483,180,4348,8700,1433,121,3122,14,198,27
117,T_1205,79221,47359,251,83,3942,537,9686,20948,1946,452,7948,67,628,96
118,T_1206,174874,101885,417,154,7363,1595,19376,42459,3650,840,22960,74,1194,160
119,T_1207,82912,48925,234,70,3869,413,16499,14553,1722,478,9187,56,800,76
120,T_1208,40948,23595,64,39,3704,203,1548,13617,1773,94,2063,14,109,27
121,T_1209,79702,47603,228,73,2825,666,13739,14404,1388,478,11951,39,971,79
122,T_1210,134607,82202,376,127,6191,676,26211,26133,2673,689,15775,98,1653,178
123,T_1211,127106,72515,273,87,2572,822,24867,18963,2018,772,18955,65,1533,93
124,T_1212,94992,62609,314,163,3029,813,7011,39869,1733,369,8099,61,418,91
125,T_1213,116225,78340,486,186,2381,1039,11986,43585,1469,518,14839,59,793,124
126,T_1214,33677,17947,26,37,4597,121,1442,8466,1129,88,1621,15,96,14
127,T_1215,59841,35900,180,55,1908,345,10918,11719,1155,225,7866,34,684,70
128,T_1216,128662,74558,273,105,8107,814,18806,25039,3359,820,14519,62,1047,145
129,T_1217,50148,29359,72,25,571,339,10293,6506,488,278,9492,14,743,49
