,teryt_code,eligible_voters,issued_ballots,SLDUP,AWSP,UW,SAMOOBRONA,PIS,PSL,PO,ARS,PWN,LPR,MN,PUG,PPS,NMNGSL
284,T_2416,102393,50238,27585,1720,1223,4977,2027,4732,3538,271,0,2319,0,0,192,0
285,T_2465,104970,50965,33523,1660,1276,3080,3116,927,4134,348,0,1513,0,0,163,0
286,T_2468,74537,34966,18040,1600,855,1898,4109,1158,3236,241,0,2507,0,0,56,0
287,T_2475,190355,93543,59656,4162,2436,5025,6228,2088,8005,516,0,3246,0,0,170,0
288,T_2601,61112,27394,9664,1026,259,3935,930,7242,1968,147,0,1047,0,0,60,0
289,T_2602,71354,31144,12764,802,229,5176,1067,6082,1553,320,0,1417,0,0,207,0
290,T_2603,29832,12517,3004,248,84,2746,311,4666,503,52,0,396,0,0,30,0
291,T_2604,142902,54326,19656,1609,618,8050,3235,9981,2819,551,0,4856,0,0,187,0
292,T_2605,69325,27626,13056,1220,492,3165,1380,2294,1991,225,0,2107,0,0,266,0
293,T_2606,46158,19608,7042,543,195,3550,642,5062,536,112,0,779,0,0,70,0
294,T_2607,95368,42111,23400,1060,564,4792,2775,3493,2556,209,0,1544,0,0,101,0
295,T_2608,34589,15047,6056,295,275,2828,336,2997,870,126,0,522,0,0,84,0
296,T_2609,65375,29759,11903,1426,496,4048,1375,5931,1329,169,0,1654,0,0,70,0
297,T_2610,66118,29607,14303,1783,637,2185,2240,1449,3410,346,0,2096,0,0,53,0
298,T_2611,76675,34923,14880,1686,883,3367,2147,5736,2187,236,0,1877,0,0,423,0
299,T_2612,58100,23619,9190,698,747,3772,1317,4332,1066,198,0,1042,0,0,78,0
300,T_2613,36996,17089,7360,1103,135,2615,763,2304,830,121,0,925,0,0,44,0
301,T_2661,165880,85690,42307,2386,2170,5055,10548,3470,9291,1309,0,6678,0,0,319,0
302,T_2801,49895,19786,8342,246,1348,3984,808,1669,1169,60,0,1169,0,0,0,0
303,T_2802,34431,14000,5655,258,875,1461,721,2275,1338,34,0,576,0,0,0,0
304,T_2803,49839,21226,9579,820,236,2597,894,2566,1509,99,0,1722,0,0,0,0
305,T_2804,42121,15395,6764,214,600,2314,951,1517,1369,58,0,756,0,0,0,0
306,T_2807,67890,29693,13474,715,1497,3884,1239,3278,2512,108,0,1530,0,0,0,0
307,T_2809,33632,13300,5454,252,394,1957,773,964,1938,42,0,911,0,0,0,0
308,T_2812,31936,14692,5474,316,156,2491,761,2457,812,48,0,1213,0,0,0,0
309,T_2815,80869,32762,16218,1583,865,3350,2408,1795,3066,117,0,1703,0,0,0,0
310,T_2861,98562,44762,22783,924,1588,2851,3904,1210,6548,121,0,3522,0,0,0,0
311,T_2805,61923,23110,10452,907,381,2110,1761,1279,2249,55,0,2707,0,0,90,0
312,T_2806,67426,26283,11514,781,1020,3409,1424,1948,3119,59,0,1573,0,0,107,0
313,T_2808,53774,20463,10005,756,572,2476,1046,1206,2114,63,0,1138,0,0,70,0
314,T_2810,38754,14827,6483,704,557,1319,1092,1151,1347,47,0,1269,0,0,29,0
315,T_2811,26214,10446,4885,477,153,994,464,1053,637,36,0,1100,0,0,26,0
316,T_2813,43312,15851,6469,526,336,1685,1080,1131,2551,50,0,1039,0,0,68,0
317,T_2814,83337,29364,13131,1113,927,3130,2274,2133,2681,100,0,1880,0,0,88,0
318,T_2816,43378,16642,6597,598,199,1795,1522,1579,1498,43,0,1689,0,0,46,0
319,T_2817,52889,19179,8191,811,461,1652,939,2023,1981,91,0,1648,0,0,186,0
