,teryt_code,eligible_voters,issued_ballots,Bartoszewicz,Biejat,Braun,Holownia,Jakubiak,Maciak,Mentzen,Nawrocki,Senyszyn,Stanowski,Trzaskowski,Woch,Zandberg
261,T_2407,59054,36128,227,1141,2737,1922,262,93,6600,10918,349,518,9683,50,1472
262,T_2408,74394,52047,347,1985,2905,3159,415,101,8531,13643,561,805,16747,71,2581
263,T_2409,54062,34370,172,1316,2608,1596,270,63,5258,11524,353,405,9280,31,1336
264,T_2410,83109,59798,304,1855,3633,3132,462,103,10980,20777,543,751,14421,74,2533
265,T_2411,77748,43695,237,1463,2777,2543,310,74,7693,11827,390,542,13922,46,1692
266,T_2412,57842,38854,186,1217,2368,1839,267,80,7524,13767,295,482,9171,43,1410
267,T_2413,106622,69864,362,2654,3904,4256,505,110,10215,18760,748,1003,23814,77,3206
268,T_2414,44620,31071,134,918,2098,1508,231,55,5804,11029,300,426,6980,26,1439
269,T_2415,114614,74848,297,2479,4949,3569,551,130,13933,24823,612,848,19605,57,2727
270,T_2416,89362,58029,225,2414,3897,2540,372,141,8693,19121,615,575,16880,44,2295
271,T_2417,115990,78918,389,1940,5939,3442,567,145,13361,30887,586,851,17642,61,2784
272,T_2461,123702,87045,436,3580,4499,5096,692,169,11714,21907,925,1087,32358,66,4246
273,T_2462,106349,63363,283,3168,3149,3465,412,117,9134,15552,749,881,22627,54,3490
274,T_2463,72431,45476,229,2567,2181,2770,278,73,5755,9218,631,783,17884,48,2832
275,T_2464,156573,105516,537,4522,5565,4938,707,180,12312,28281,1110,1388,40895,90,4640
276,T_2465,86438,57980,305,3569,2999,2776,340,114,6573,13334,664,817,23322,46,2930
277,T_2466,127207,87495,400,4110,4208,4963,607,150,11237,18464,1157,1185,35588,87,4999
278,T_2467,62464,40441,161,1513,2401,1724,262,77,6637,14422,302,431,10608,40,1669
279,T_2468,66205,43629,195,2073,2637,2247,308,71,6277,11405,526,596,14996,33,2118
280,T_2469,214572,150467,727,8504,6019,8328,967,249,16924,31639,2293,2118,61137,161,10923
281,T_2470,52722,35693,126,1586,1859,1881,245,70,5466,9765,454,535,11824,31,1708
282,T_2471,39181,24796,106,1013,1120,1347,176,43,3382,7549,287,346,8006,29,1267
283,T_2472,97038,60997,260,2737,3119,3641,374,116,9716,16501,694,1023,19381,65,3073
284,T_2473,97716,65123,339,2584,3552,3487,491,137,11003,18799,555,819,20239,61,2840
285,T_2474,47138,30622,150,1689,1477,2137,194,60,3866,6711,368,427,11745,29,1623
